number,summary,milestone,reporter,assigned_to_name,assigned_to_id,priority,status,completed_date,due_date,created_on,work_remaining,project,worked_hours,total_worked_hours,sum_of_child_estimates,plan_level,estimate,total_work_remaining,description,updated_at,last_status_or_milestone_change,tag_names,visible_in_client_view,days_from_created_on,days_from_last_update,days_from_status_change,days_from_completed,Fixed in,known since,Planned for release,type of feature
515,"Documentation: source, debian and rpm install manual for 1.5",Release 1.5,Jan Meijer (dPS9kyuyur3zYrab7jnrAJ),Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,High,Fixed,2013-04-09,,2011-08-31,0.0,FileSender,0.0,0.0,0.0,-,0.0,0.0,"Working towards the actual release of 1.5, anything that isn't done yet is a bug.  The release moment is then the moment at which we find the remaining bugs acceptable.",2013-04-09,2013-04-09,,false,2206 days,1619 days,1619 days,1619 days,,,1.5,
631,server side validation: fileoriginalname,Release 1.5,Xander Jansen (bkpnJ4jEWr37jceJe5afGb),Xander Jansen,bkpnJ4jEWr37jceJe5afGb,Normal,Fixed,2012-05-06,,2012-01-26,0.0,FileSender,0.0,0.0,0.0,-,0.0,0.0,"Current check is 'isset', should also check for empty values or invalid chars serverside ",2012-05-06,,,false,2058 days,1957 days,,1957 days,,,1.5-beta3,
657,Rework location and modifying language files,Release 1.5,Xander Jansen (bkpnJ4jEWr37jceJe5afGb),,,Normal,Fixed,2012-04-11,,2012-02-27,0.0,FileSender,0.0,0.0,0.0,-,0.0,0.0,"Currently we have 'distribution' language files in ./language and files in ./config . The files in ./config contain the definitions that were previously in config.php but now contain the 'distribution' defaults. We should move the default definitions of these ./config files to the ./language files and perhaps supply a few example templates in a separate directory. The same goes for the language selection code, move that to a distribution tree with an override possibility in /.config.

",2012-08-30,,,false,2026 days,1841 days,,1982 days,,,1.5-beta2,
49,Change license in all places from GPLv3 to BSD (depends on copyright holder decision),Release 1.0,Jan Meijer (dPS9kyuyur3zYrab7jnrAJ),,,Normal,Fixed,2009-10-16,,2009-10-07,0.0,FileSender,0.0,0.0,0.0,-,0.0,0.0,,2015-11-11,2015-11-11,,false,2899 days,673 days,673 days,2890 days,,,,
739,1.1 Logging the 'File Moved' action contains all recipients in 'logto' which breaks when the number of characters exceeds 250,Bugs in version 1.1,Xander Jansen (bkpnJ4jEWr37jceJe5afGb),Xander Jansen,bkpnJ4jEWr37jceJe5afGb,Normal,Fixed,2012-06-03,,2012-05-14,0.0,FileSender,0.0,0.0,1.0,-,1.0,0.0,,2012-06-03,,,false,1949 days,1929 days,,1929 days,,,1.1.1,
744,Feature change request: Default HTML5URL link,Release 1.5,Xander Jansen (bkpnJ4jEWr37jceJe5afGb),Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,Normal,Fixed,2013-03-03,,2012-05-16,0.0,FileSender,0.0,0.0,1.0,-,1.0,0.0,"As per the discussion on filesender-dev: 

The link to http://caniuse.com/#feat=fileapi from the help page shows the actually needed feature to be able to do HTML5 uploads. However the default link in $config['HTML5URL'] points to a more general HTML5 feature check page.

Quoting Thijs:

""Perhaps this would be a better default for HTML5URL than the current
setting:
        $config['HTML5URL'] = 'http://html5test.com/';
as the caniuse one specifically targets this HTML5 feature and not any
possible HTML5 capability.""

On a side note: although technically HTML5 is used for large file uploads a user is probably only interested in the answer to the 'larger than 2GB possible?'
 (yes/no) question. We might consider changing the use of 'HTML5'-enabled to something stating 'Large uploads possible'.",2013-03-03,2013-03-03,,false,1947 days,1656 days,1656 days,1656 days,,,1.5,
778,Table display ,Usage statistics module version 1.5 and 1.6,Vegard Polden (aTWq58rMCr4ysmacwqjQXA),Vegard Polden,aTWq58rMCr4ysmacwqjQXA,Normal,Fixed,2016-02-26,,2012-07-09,0.0,FileSender,0.0,0.0,3.0,-,3.0,0.0,"Add an option (button? link?) to display data in a tabular rather than graphical format, helpful for those who need to report installation usage periodically.",2016-02-26,2016-02-26,,false,1893 days,566 days,566 days,566 days,,,,workflow
872,make it irrelevant to have a trailing / in file paths in config.php,Planned features,Jan Meijer (dPS9kyuyur3zYrab7jnrAJ),,,Normal,Fixed,2016-02-26,,2013-01-29,0.0,FileSender,0.0,0.0,1.0,-,1.0,0.0,"in config.php there are a number of paths that need to be specified:
 
       // (absolute) file locations
        $config['site_filestore'] = '/data/terasender/files/';
        $config['site_temp_filestore'] = '/data/terasender/tmp/';
        $config['site_simplesamllocation'] = '/var/www/terasender/simplesaml/';
        $config['log_location'] = '/data/terasender/log/';

Right now, if you omit the trailing '/' in the path, FileSender fails.  Sometimes with an error you can use (like in case of the log dir), sometimes in a less understandable way (like if you omit the / behind the filestore path, it tries to upload and you see a progress bar that just flickers NaN). 

It would be pretty convenient if it didn't matter whether there was a trailing slash or not.",2016-02-26,2016-02-26,,false,1689 days,566 days,566 days,566 days,,,,
1238,Add information about ongoing transfers to transfer info tab in admin interface,Release 2.0 - Backlog,Jan Meijer (dPS9kyuyur3zYrab7jnrAJ),Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,Normal,Deferred,Not Completed,,2015-11-17,0.0,FileSender,0.0,0.0,1.0,-,1.0,0.0,"Currently you see detailed information about open and closed transfers.  Info about ongoing transfers would be good, especially when tracking Really Huge transfers.",2016-05-12,2016-05-12,,false,667 days,490 days,490 days,,,,,
421,"Check all ""accepted"" 1.0 bug tickets against 1.5 release",Release 1.5,Jan Meijer (dPS9kyuyur3zYrab7jnrAJ),Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,Normal,Fixed,2015-12-03,,2011-06-15,0.0,FileSender,0.0,0.0,0.0,-,0.0,0.0,"We have a bunch of ""known deficiencies in 1.0 and a bunch of things we said we'd fix in 2.0.  As part of the release/testing process we need to look at each of these tickets and see if the problem has been properly addressed.  I've put all open 1.0 bug tickets on status ""accepted"".",2015-12-03,2015-12-03,,false,2283 days,651 days,651 days,651 days,,,1.5,
