number,summary,milestone,assigned_to_name,assigned_to_id,status
1226,"Bug: When setting config directive $config['terasender_worker_count'] to a string, upload doesn't work",Release 2.0-alpha,etiennemeleard,dgRDGuZ4ar478MacwqEsg8,Fixed
997,Email address styling in 'to' field on uploads,Archived: Release 2.0 prototype,Jack Kittridge,bIiF-SXuOr4ydAacwqjQWU,Test
1225,Bug: wrong evaluation of maxexpires when default_days_valid not set in config?,Release 2.0-alpha,Jørn Åne,c9JOC0LeOr5BTmacwqEsg8,Fixed
996,Rename Tsunami to TeraSender,Archived: Release 2.0 prototype,Jack Kittridge,bIiF-SXuOr4ydAacwqjQWU,Fixed
1066,Release 1.6-beta1,Release 1.6,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,Fixed
1065,Upload progress dialog has 'close' (X) button,Release 1.6,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,Fixed
994,Scroll to highlight invalid files,Archived: Release 2.0 prototype,Jack Kittridge,bIiF-SXuOr4ydAacwqjQWU,Test
1222,"Smoothening: small changes to ""Transfers"" table and Transfer expanded view",Release 2.0-alpha,Jørn Åne,c9JOC0LeOr5BTmacwqEsg8,Test
992,"Replace ""send only to me"" with ""include me on recipient list""",Archived: Release 2.0 prototype,Jack Kittridge,bIiF-SXuOr4ydAacwqjQWU,Test
1062,"Safari 5 resend, delete files or vouchers sends duplicate emails",Release 1.6,,,Fixed
991,Configurable height on upload field,Archived: Release 2.0 prototype,Jack Kittridge,bIiF-SXuOr4ydAacwqjQWU,Test
989,Fix file removal bug in multiupload.php,Archived: Release 2.0 prototype,Jack Kittridge,bIiF-SXuOr4ydAacwqjQWU,Test
1060,Favicon vanishes when opening links in Help and About in new tab,Release 1.6,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,Won't fix
1216,"Smoothening: Transfer option ""get_a_link"" inconsistent with other options, ""advanced"" not supported",Release 2.0-alpha,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,Fixed
1058,"Guest Voucher manual deletion interrupted if ""invalid or missing email"" warning triggered",Release 1.6,,,Known issue
1215,auth_sp_set_idp_as_user_organization stil used?,Release 2.0-alpha,etiennemeleard,dgRDGuZ4ar478MacwqEsg8,Fixed
214,Error messages must be generalized before being presented to the user #3.1,Release 1.0,,,Fixed
980,Change DB calls to use prepared statements exclusively,Archived: Release 2.0 prototype,Vegard Polden,aTWq58rMCr4ysmacwqjQXA,Test
1057,Upload warning order change,Release 1.6,,,Known issue
1214,Bug: unclear error on tripping the default language config validation + inconsistent documentation/reality,Release 2.0-alpha,Jørn Åne,c9JOC0LeOr5BTmacwqEsg8,Test
979,Field escaping on multiupload.php,Archived: Release 2.0 prototype,Jack Kittridge,bIiF-SXuOr4ydAacwqjQWU,Invalid
1056,Text in Help dialogue jumps to first url when clicking on other urls,Release 1.6,,,Known issue
1213,Encode email subjects,Release 2.0-alpha,etiennemeleard,dgRDGuZ4ar478MacwqEsg8,Fixed
