number,summary,milestone,assigned_to_name,assigned_to_id,status
1257,Create initial documentation for pause/resume functionality in version 2.0,Release 2.0: Documentation,etiennemeleard,dgRDGuZ4ar478MacwqEsg8,New
1291,Set up auto-update installation for using poeditor.com (or something similar),Release 2.0: Language file crowdsourcing,,,New
1310,Transfer options in guest invitation,Release 2.0: Feature specification,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,New
788,Add dropzone for drag&drop ,Archived,,,Fixed
830,Set default popup button focus,Release 1.5,,,Invalid
845,Mail not always sent after chunked downloading (crypto prototype),end-to-end file encryption,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,Fixed
1098,Think through the probable upgrade process from 1.6 to 2.0,Release 2.0 prototype class refactoring,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,New
1152,Document config directive for configurable user profile page (disabled by default),Release 2.0: Documentation,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,New
1290,Inform core-group about current status of language file translation crowdsourcing,Release 2.0: Language file crowdsourcing,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,Fixed
1309,Transfer option: redirect_url_on_upload_complete,Release 2.0: Feature specification,Jørn Åne,c9JOC0LeOr5BTmacwqEsg8,New
773,Create prototype of UI with re-ordered fields,Archived,,,Fixed
821,form autofill (autocomplete) not working,Release 1.6,Wendy Mason,aNSALiyQSr3482eJe5cbCb,Fixed
829,# Appearing in Browser Tabs and Browser Title,Release 1.5,Wendy Mason,aNSALiyQSr3482eJe5cbCb,Known issue
843,"Suggest a randomly generated password for uploads, no password suggestion for downloads",end-to-end file encryption,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,Fixed
915,Do not .zip a download if only one file is selected,Archived: Release 2.0 prototype,Vegard Polden,aTWq58rMCr4ysmacwqjQXA,Fixed
1097,Document user stories underpinning classes and database model,Release 2.0 prototype class refactoring,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,Invalid
1159,Document email subject prefix,Release 2.0: Documentation,,,New
1289,Document language translation service crowdsourcing on filesender.org,Release 2.0: Language file crowdsourcing,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,In Progress
1299,Document feature suggestion -> implementation workflow,Release 2.0: Adapt project processes to version 2.0 reality,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,New
1300,Ensure a guest invitation owner is notified of uploads by the guest,Release 2.0: Feature specification,,,New
68,make standard emails low-scoring on common spam filters,Release 1.0,,,Fixed
787,Extra option: allow for aggregate emails ,Archived,,,Fixed
828,Admin page error tab layout,Release 1.5,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,Fixed
842,Non-chunked download for non-encrypted files?,end-to-end file encryption,,,Invalid
870,change project organisation page and in particular update funding,Release 2.0: Adapt project processes to version 2.0 reality,,,New
914,Display aggregate upload time / speed estimates,Archived: Release 2.0 prototype,Jack Kittridge,bIiF-SXuOr4ydAacwqjQWU,Test
1096,Check up on the PHP object model,Release 2.0 prototype class refactoring,etiennemeleard,dgRDGuZ4ar478MacwqEsg8,New
1193,Documentation: document duplicate file detection on upload,Release 2.0: Documentation,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,New
1271,Download: download all files at once into an archive,Release 2.0: Feature specification,,,New
1288,Decide on use of poeditor.com for filesender translations,Release 2.0: Language file crowdsourcing,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,In Progress
1068,'friendly name' extraction from email address broken,Release 1.6,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,Fixed
67,give uploader opportunity to delete uploaded files and/or retract vouchers,Release 1.0,,,Fixed
841,Disable download of encrypted files for non-capable browsers,end-to-end file encryption,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,Fixed
882,Implement session id in temp files with TeraSender,TeraSender: integrate terabyte challenge upload code improvements,,,New
913,Limiting number of files and aggregate size on upload,Archived: Release 2.0 prototype,Jack Kittridge,bIiF-SXuOr4ydAacwqjQWU,Test
1095,Database design document,Release 2.0 prototype class refactoring,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,Fixed
1128,Feature request: send reminder if file not downloaded and expiry date nearing,Release 2.0-alpha,etiennemeleard,dgRDGuZ4ar478MacwqEsg8,Test
1235,Verify database design document is still up-to-date,Release 2.0: Documentation,etiennemeleard,dgRDGuZ4ar478MacwqEsg8,New
1258,Find alternatives to OpenIdP accounts,Release 2.0: Adapt project processes to version 2.0 reality,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,In Progress
1265,Upload: drag & drop file selection (html5),Release 2.0: Feature specification,,,New
1287,"Test poeditor setup with English, French, Dutch and Norwegian",Release 2.0: Language file crowdsourcing,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,In Progress
1150,document config directives for language options,Release 2.0: Documentation,,,Fixed
1151,Document config directive for logging organisation id,Release 2.0: Documentation,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,Fixed
1153,Put remaining directives from Damian spreadsheet into wikipage,Release 2.0: Documentation,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,Fixed
1154,Add documentation for bounce handling (general explain + config directive),Release 2.0: Documentation,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,Accepted
1155,Document access web service as remote user (!= remote application),Release 2.0: Documentation,,,New
1156,Document user preference framework start,Release 2.0: Documentation,,,New
1157,Document custom transfer validator,Release 2.0: Documentation,,,New
1158,Document option to get a link for download instead of sending to recipient,Release 2.0: Documentation,,,Fixed
1160,Document email header config directives,Release 2.0: Documentation,,,New
66,"hinting, in the upload interface, that the recipient email line can take multiple email addresses",Release 1.0,,,Fixed
826,Consistent key interaction with all popups,Release 1.5,Wendy Mason,aNSALiyQSr3482eJe5cbCb,Fixed
840,Add encryption info to notification mails,end-to-end file encryption,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,Fixed
883,Adapt error messages in upload code to using external upload module,TeraSender: integrate terabyte challenge upload code improvements,,,New
912,Multi-file code refactoring,Archived: Release 2.0 prototype,Vegard Polden,aTWq58rMCr4ysmacwqjQXA,Fixed
1094,Classes design,Release 2.0 prototype class refactoring,etiennemeleard,dgRDGuZ4ar478MacwqEsg8,Fixed
1127,web services suggestion: get instance-specific information for display in external web portals,Release 2.0-alpha,etiennemeleard,dgRDGuZ4ar478MacwqEsg8,Fixed
1149,Documentation 2.0: configuration directives,Release 2.0: Documentation,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,In Progress
1252,"Review open tickets in version 1.5, 1.6, suggested and planned features",Release 2.0: Adapt project processes to version 2.0 reality,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,In Progress
1264,Upload: Multi-file upload in single transaction (html5),Release 2.0: Feature specification,,,QTest
1286,Create push/pull scripts for language files <--> poeditor.com via API,Release 2.0: Language file crowdsourcing,etiennemeleard,dgRDGuZ4ar478MacwqEsg8,In Progress
983,Add time of download to My Files details,Release 1.6,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,Known issue
984,implement auto-refresh after click on download from My Files table,Release 1.6,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,Known issue
62,adding new recipients to an existing download,Release 1.0,,,Fixed
597,MyFiles: include status (downloaded and how often) [M],Release 1.6,Wendy Mason,aNSALiyQSr3482eJe5cbCb,Fixed
769,"Error messages, Ajax and Post merged into functions",Archived,,,Invalid
825,When canceling upload - show client the server is busy canceling. ,Release 1.5,,,Fixed
839,Show encryption (yes/no) in My Files listing,end-to-end file encryption,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,Fixed
877,config.php switch for terasender yes/no,TeraSender: integrate terabyte challenge upload code improvements,,,Fixed
1092,Format all HTML/Javascript files according to coding conventions,Release 2.0 prototype class refactoring,etiennemeleard,dgRDGuZ4ar478MacwqEsg8,Fixed
1106,HTML5 uploads with FireFox and Chrome no longer work with 2.0,Release 2.0-alpha,etiennemeleard,dgRDGuZ4ar478MacwqEsg8,Fixed
1251,Update policy alpha and beta release,Release 2.0: Adapt project processes to version 2.0 reality,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,In Progress
1263,Admin: maintenance mode,Release 2.0: Feature specification,,,New
1285,Ask for open source unlimited plan for filesender project in POedit,Release 2.0: Language file crowdsourcing,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,Fixed
1311,Document 3rd party modules for security considerations,Release 2.0: Documentation,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,Accepted
1272,Email audit log,Release 2.0: Feature specification,,,New
56,create Release Schedule / planning wiki page,Release 1.0,,,Fixed
341,Document reasoning for having ePTID as default GUID,Release 2.0: Documentation,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,Accepted
388,APC Upload Progress Bar Testing,Archived,,,Won't fix
838,Only show encryption box when browser is capable (upload page),end-to-end file encryption,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,Fixed
871,Move footer from hardcoded in index.php to configurable via the language files,Release 1.6,Wendy Mason,aNSALiyQSr3482eJe5cbCb,Fixed
876,Create terasender playground based on 1.5 branch code,TeraSender: integrate terabyte challenge upload code improvements,,,Fixed
905,Modify session validity check on upload to allow for very long uploads,Release 2.0-alpha,etiennemeleard,dgRDGuZ4ar478MacwqEsg8,Fixed
910,investigate best option for on-the-fly zip of downloads,Archived: Release 2.0 prototype,Vegard Polden,aTWq58rMCr4ysmacwqjQXA,Fixed
1073,Minimise FileSender data privacy footprint,Planned features,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,Fixed
1093,Format all php files according to our coding conventions,Release 2.0 prototype class refactoring,romanmalyshev,avZvqm96Gr47ZdacwqEsg8,Fixed
1249,Audit trail,Release 2.0: Feature specification,,,New
1250,Establish policy for dealing with known issues,Release 2.0: Adapt project processes to version 2.0 reality,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,In Progress
1259,Decide on language file format to use,Release 2.0: Language file crowdsourcing,etiennemeleard,dgRDGuZ4ar478MacwqEsg8,Won't fix
1298,Establish list of beta and release candidate sites,Release 2.0-beta,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,New
55,Document which attributes are needed from a federation,Release 1.0,,,Fixed
1245,"Download email generated even if user clicks on ""Cancel"" rather than ""Save File""",Bugs in version 1.1,,,Known issue
54,Add DNS lookup to log entries.  Must be configurable switch (togle on/off),Release 1.0,,,Fixed
508,Race condition with file deletion cronjob under certain circumstances,Bugs in version 1.1,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,Known issue
662,Error if locale does not exist in locale.php,Release 1.5,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,Fixed
772,cronjob to periodically clean non-anonomised log table,Usage statistics module version 1.5 and 1.6,,,Known issue
820,Separate default-expiry-date and max-expiry-date,Planned features,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,Fixed
1164,Check email templates for logical user experience,Release 2.0 - Backlog,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,Deferred
658,Missing confirmation message after adding recipient,Release 1.5,,,Fixed
53,choose between SVN/GitHub,Release 1.0,,,Fixed
527,Upload hangs with progress bar using Opera 11.5 (fixed) and 12-alpha,Release 1.5,,,Known issue
553,Voucher upload listing in My Files logic,Bugs in version 1.1,,,Known issue
775,Charts styling,Usage statistics module version 1.5 and 1.6,Vegard Polden,aTWq58rMCr4ysmacwqjQXA,Fixed
1189,Review value for Sender email in transfer overview when non-sender return-path configured,Release 2.0 - Backlog,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,Deferred
629,filesize check on uploadcomplete,Release 1.5,,,Fixed
648,Add italian translations,Release 1.5,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,Fixed
705,Re-send Email confirmation prompt missing,Release 1.5,Wendy Mason,aNSALiyQSr3482eJe5cbCb,Fixed
52,create new first page for www.filesender.org,Release 1.0,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,Fixed
554,bcc generation logic,Bugs in version 1.1,,,Known issue
651,Improve documentation on pause/resume functionality,Release 1.5,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,Fixed
776,Exclude domains or individuals from stats,Usage statistics module version 1.5 and 1.6,Vegard Polden,aTWq58rMCr4ysmacwqjQXA,Fixed
1221,Smoothening: make audit log easier to find,Release 2.0 - Backlog,etiennemeleard,dgRDGuZ4ar478MacwqEsg8,Deferred
526,Browse button issue for automated testing with Flash,Release 1.5,,,Known issue
630,Restrict 'filefrom' to expected values,Release 1.5,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,Fixed
713,mail sending error handling,Release 1.5,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,Fixed
50,Figure out copyright holder in BSD license (RicoShae/TERENA/?),Release 1.0,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,Fixed
650,"Update ""help"" and ""about"" text",Release 1.5,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,Fixed
730,Backport fix for changed firefox 13 slice semantics,Bugs in version 1.1,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,Fixed
777,Configure available charts,Usage statistics module version 1.5 and 1.6,Vegard Polden,aTWq58rMCr4ysmacwqjQXA,Fixed
1223,Feature: contextual help,Release 2.0 - Backlog,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,Deferred
631,server side validation: fileoriginalname,Release 1.5,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,Fixed
657,Rework location and modifying language files,Release 1.5,,,Fixed
49,Change license in all places from GPLv3 to BSD (depends on copyright holder decision),Release 1.0,,,Fixed
739,1.1 Logging the 'File Moved' action contains all recipients in 'logto' which breaks when the number of characters exceeds 250,Bugs in version 1.1,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,Fixed
744,Feature change request: Default HTML5URL link,Release 1.5,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,Fixed
778,Table display ,Usage statistics module version 1.5 and 1.6,Vegard Polden,aTWq58rMCr4ysmacwqjQXA,Fixed
872,make it irrelevant to have a trailing / in file paths in config.php,Planned features,,,Fixed
1238,Add information about ongoing transfers to transfer info tab in admin interface,Release 2.0 - Backlog,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,Deferred
421,"Check all ""accepted"" 1.0 bug tickets against 1.5 release",Release 1.5,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,Fixed
700,Prompt to install Flash Player at file upload logic,Release 1.5,Wendy Mason,aNSALiyQSr3482eJe5cbCb,Fixed
34,XML Libraries PHP vulnerabilities,Release 1.0,,,Invalid
753,security audit: 2.11.8 implement XSRF checks,Release 1.5,,,Fixed
758,ask Thijs about changing default php.ini settings wrt. secure cookies?,Release 1.5,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,Fixed
798,Median file size statistic,Usage statistics module version 1.5 and 1.6,,,Won't fix
1268,Investigate  detection of folders on file selection,Release 2.0 - Backlog,etiennemeleard,dgRDGuZ4ar478MacwqEsg8,New
649,Incorrect on-screen notification for deleted file,Release 1.5,,,Fixed
12,Jan to test/investigate limit to number of files in Linux server folder,Release 1.0,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,Invalid
762,Security audit: 2.4.3: Set a restrictive anti-caching header,Release 1.5,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,Fixed
799,Fix file sizes chart for small values.,Usage statistics module version 1.5 and 1.6,Vegard Polden,aTWq58rMCr4ysmacwqjQXA,Fixed
1278,Add timezone to transfer audit log display,Release 2.0 - Backlog,etiennemeleard,dgRDGuZ4ar478MacwqEsg8,New
645,"Polish the ""are you sure"" delete dialogue boxes",Release 1.5,,,Known issue
675,Add Slovenian language files,Release 1.5,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,Fixed
8,Action 1706.2 figure out federation attribute consistency,,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,Fixed
11,Chris to test/investigate limit to number of files in Windows server folder,Release 1.0,,,Fixed
804,Make debug=false default for rc1,Release 1.5,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,Fixed
815,Improve the look of stats module error messages,Usage statistics module version 1.5 and 1.6,Vegard Polden,aTWq58rMCr4ysmacwqjQXA,Fixed
1282,Check subject logic for sender and email receiver mails,Release 2.0 - Backlog,,,New
644,Voucher: send.click without entering email address results in send button confusion,Release 1.5,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,Fixed
670,/index.php?s=complete and completev pages don't check for AuthN/voucher,Release 1.5,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,Deferred
10,Organise translations of labels Chris mailed earlier,Release 1.0,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,Invalid
666,Add Čeština language files,Release 1.5,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,Fixed
9, get authN identity providers hooked up to test installation,Release 1.0,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,Invalid
572,Error handling: no error handling when debug=false and database connection failure,Release 1.5,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,Test
331,download_id_seq  can be removed,Release 1.0,,,Fixed
628,Display client message when IDP values are not found after logon.,Release 1.5,,,Fixed
654,Catch zero size chunk uploads,Release 1.5,,,Deferred
286,Split Config for packaging,Release 1.0,,,Invalid
488,Error handling,Release 1.5,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,Fixed
257,Flex Compiler Warnings,Release 1.0,,,Fixed
520,Organise external code security review,Release 1.5,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,Fixed
567,Make sure the 3 current standard language files are all in sync,Release 1.5,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,Fixed
168,Admin Email not Available,Release 1.0,,,Fixed
470,Voucher page text,Release 1.5,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,Fixed
15,linux client: @ sign keyed in from Norwegian keyboard gives unprintable character in addition,Release 1.0,,,Fixed
16,hardcoded reference to Default.htm somewhere in the redirect after logon?,Release 1.0,,,Fixed
386,Config: automatic configuration file sanity checker,Suggested features,,,New
17,index page (default.html) that works on both Windows and Unix environments,Release 1.0,,,Fixed
879,multi-file UI: idea: move AuP to be on-first-logon rather than on-every-upload,Suggested features,,,New
349,UI3: ensure users with visual impairment can use FileSender,Suggested features,,,New
19,change timestamp in logentries to be a complete timestamp,Release 1.0,,,Fixed
907,"Make use of HTML 5 form field type ""email"" where appropriate",Suggested features,,,New
99,On download warning to mobile device users [S],Suggested features,,,New
21,Flash app keeps loading?,Release 1.0,,,Invalid
824,auto-complete in To: field: allow user to choose default sort order,Suggested features,,,New
22,README rename to install,Documentation version 1.0 and 1.1,,,Fixed
875,Enable file recipient to leave a comment to sender on download,Suggested features,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,New
23,Postgress install documentation,Documentation version 1.0 and 1.1,,,Fixed
990,admin tab -- two additional alerts,Suggested features,,,New
24,Windows install documentation?,Documentation version 1.0 and 1.1,,,Fixed
1170,Feature: in-app messaging,Suggested features,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,New
25,PHP configuration Documentation,Documentation version 1.0 and 1.1,,,Fixed
1082,New feature suggestion: transaction audit trail,Suggested features,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,New
26,File permissions,Documentation version 1.0 and 1.1,,,Fixed
886,Summary tabel of file recipients and actual downloaders *after expiry*,Suggested features,,,New
860,Disable page selection button when on the specific page,Suggested features,,,New
833,Re-send Voucher button in Guest Voucher table,Suggested features,,,New
832,Link to voucher url in Guest Voucher table,Suggested features,,,New
31,File Encryption serverside,Suggested features,,,Invalid
37,Continue loading in status bar - Why,Release 1.0,,,Fixed
38,Config file details and values,Documentation version 1.0 and 1.1,,,Fixed
51,beta.filesender.org CNAME Australian development platform,Project infrastructure pre 2.0,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,Fixed
60,improve user's path to Gears,Release 1.0,,,Fixed
61,document email server requirements,Documentation version 1.0 and 1.1,,,Won't fix
63,devise a solution for SPF records,Suggested features,Dick Visser,br2IeM2GCr4kdHeJe5cbLr,Accepted
75,"pages ask for media that aren't included (sprites, favicon etc.)",Release 1.0,,,Fixed
78,why not move to an HTML-only + Gears UI?,Suggested features,,,Invalid
79,skinnability,Suggested features,,,Invalid
81,Hint to click on Gears Logo (grey exclamation error),Release 1.0,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,Invalid
84,Download - Pause and Resume,Planned features,,,Invalid
86,Global configurable date format,Suggested features,,,Fixed
91,Error Attempt to upload a file without an extension,Release 1.0,,,Fixed
92,interface: upload speed indicator (Mbps),Suggested features,,,New
94,UI: Drag and drop files to upload to browser [M],Planned features,,,Fixed
95,Alternate logout URL,Release 1.0,,,Fixed
97,flash front end hangs browser when path can't be found in back end,Release 1.0,,,Fixed
98,download notification does not distinguish between users if file uploaded to multiple users,Release 1.0,,,Fixed
100,parallelise upload / download,Suggested features,,,New
108,Redirect to install Flash Player if FP 10 not installed,Release 1.0,,,Fixed
109,Voucher download incorrect To:email,Release 1.0,,,Fixed
110,postgres ERROR:  date/time field value out of range different datestyle,Archived: Installation issues,,,Fixed
111,3 times history.js?,Release 1.0,,,Fixed
112,2 files missing,Release 1.0,,,Fixed
113,change default simplesamllocation in config.php,Release 1.0,,,Fixed
114,3 directories not created by default in .tar.gz of beta-1.8,Release 1.0,,,Fixed
115,clarify in config file site_filestore must be in web tree,Release 1.0,,,Fixed
116,the 'browse' button doesn't scale with changed text,Release 1.0,,,Fixed
118,Default email subject configurable,Release 1.0,,,Fixed
119,Symlink info,Documentation version 1.0 and 1.1,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,Fixed
121,undesired message truncation in 'download' window,Release 1.0,,,Fixed
123,"""cancel"" button on download page",Suggested features,,,Invalid
124,Mime Type to HTML and test for spam count.,Release 1.0,,,Fixed
126,Export admin results to xls,Suggested features,,,Fixed
127,How to handle multiple email addresses from user's LDAP entry,Release 1.0,,,Fixed
128,Progress bar at 100% before upload is finished,Release 1.0,,,Fixed
129,Valid email-adresses are refused on input,Release 1.0,,,Fixed
130,Backend alters email-attribute,Release 1.0,,,Fixed
131,Voucher list empty,Release 1.0,,,Fixed
132,php splitting email with + : Research it,Release 1.0,,,Fixed
133,Log all clenaup files interaction - if file missing or date past,Release 1.0,,,Fixed
134,"Out of date voucher - if non AUTH user does not show ""Out of date or no longer available message""",Release 1.0,,,Fixed
135,Add other keyboard special charachters,Release 1.0,,,Fixed
136,Firefox gears.js,Release 1.0,,,Fixed
138,"Email address with 1 character refused with ""Please select file to upload"" error",Release 1.0,,,Fixed
139,Multi-language email templates [L],Suggested features,,,New
143,"Emails now score 2.5 on spam filter, introduce empty line between body and headers",Suggested features,,,Invalid
144,Make the IdP attribute mapping configurable when using multiple IdPs,Suggested features,,,New
146,Default Email Subject,Release 1.0,,,Fixed
154,use cronjob for clean up ,Planned features,,,Fixed
156,Overhaul log mechanism,Suggested features,,,New
160,email address unsuitable as GUID,Release 1.0,,,Fixed
161,Notification email not being sent back,Release 1.0,,,Fixed
162,improve feedback when log directory is missing,Suggested features,,,Fixed
163,add 'back to home page' button in logged out page,Suggested features,,,Fixed
164,Username Display show/hide UI,Planned features,,,Fixed
165,Pause in flash upload,Planned features,,,Invalid
166,Screen Size,Release 1.0,,,Fixed
167,Error in Config - Date ,Release 1.0,,,Fixed
169,language quirks in MyFiles re-send email process,Release 1.0,,,Fixed
170,"language quirk in MyFiles ""add new recipient""",Release 1.0,,,Fixed
171, no-caching tags in all FileSender pages,Release 1.0,,,Fixed
172,Fix Version Number State overide,Release 1.0,,,Fixed
173,SAML Session expiration errors - instead of requesting logon,Release 1.0,,,Fixed
174,size calculation wrong for larger files,Release 1.0,,,Fixed
175,saml_uid_attribute parsing code not 100%,Release 1.0,,,Fixed
180,sender email address gets truncated beyond 3rd domain level,Release 1.0,,,Fixed
181,Arrange download(s).filesender.org,Project infrastructure pre 2.0,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,Fixed
183,move email templates from config file to separate file [M],Planned features,,,Fixed
187,"security: apparently ""finished"" download page can be re-activated",Release 1.0,,,Won't fix
188,Some downloads hang at 68%,Release 1.0,,,Fixed
189,"Flash upload: After sending a file, text “Your file has been sent” or similar is now absent, ",Release 1.0,,,Fixed
190,To: and from: reversed when uploading using a voucher,Release 1.0,,,Fixed
191,Help,Release 1.0,,,Fixed
192,About,Release 1.0,,,Fixed
193,voucher upload is broken (but works on apps3) ,Release 1.0,,,Fixed
194,Files and vouchers do not expire after expiry date,Release 1.0,,,Fixed
195,expiry date selection is open-ended when issuing voucher and adding a new recipient,Release 1.0,,,Fixed
196,Email everyone when voucher deleted,Release 1.0,,,Fixed
197,Explanatory text in vouchers window missing,Release 1.0,,,Fixed
198,Voucher Deleted notification,Release 1.0,,,Fixed
199,AUP checkbox remains checked when renewing upload page,Release 1.0,,,Invalid
200,> * I’m still addressed as “Welcome Mason” i.e. first name remains absent,Release 1.0,,,Fixed
201,also check the download page for field descriptions not followed by ':',Release 1.0,,,Fixed
202,it could be 'your file has been uploaded',Suggested features,,,Fixed
203,add download link for user's own files in MyFiles,Suggested features,,,Fixed
204,look at column widths and order in MyFiles tab,Suggested features,,,New
205,Enable deselect of selected values in file and voucher tables,Suggested features,,,New
206,Voucher email text “upload once one file” could be “upload one file once”,Suggested features,,,Fixed
207,switch on https on apps3,Project infrastructure pre 2.0,,,Fixed
208,ticketise security audit issues,Release 1.0,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,Fixed
209,max_email_recipients,Release 1.0,,,Fixed
211,MyFiles -> Add Recipient: download link in resulting file voucher does not work,Release 1.0,,,Fixed
212,send proposal to dev list on filesender client side logging,Release 1.0,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,Invalid
229,filename error when creating a voucher - ,Release 1.0,,,Fixed
230,Incorrect email sent when using a voucher,Release 1.0,,,Fixed
231,File size shows error when creating vouchers,Release 1.0,,,Fixed
232,gears upload tmpfile handling,Release 1.0,,,Fixed
233,Modify file deletion process,Planned features,,,Fixed
234,about/help/gears links on logon screen are broken,Release 1.0,,,Fixed
235,typo: Installed: gears allows you to ulpoad extremely ....,Release 1.0,,,Fixed
236,gears upload fails when disabling third party cookies in FF,Release 1.0,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,Fixed
239,expiry logic: selecting 'today' should be disabled?,Release 1.0,,,Fixed
240,expiry logic: with multiple recipients the shortest expiry wins,Release 1.0,,,Fixed
241,"files, tmpfiles and log directory not present in 1.14",Release 1.0,,,Fixed
242,move config.php from classes to a new config directory,Release 1.0,,,Fixed
243,Remove hostname from config.php or define it once,Release 1.0,,,Fixed
244,Restructure SVN tree to support branches and tags,Release 1.0,,,Fixed
245,Investigate command line Flash compilation to enable automatic nightly builds,Project infrastructure pre 2.0,,,Fixed
246,Detailed transaction logging facility per user,Release 1.0,,,Fixed
247,Extra field in download page indicating download progress in actual bytes,Suggested features,,,Invalid
248,Email Optional message shows 'r' instead of carriage return,Release 1.0,,,Fixed
249,IE8 download of files > 4GB hangs,Release 1.0,,,Fixed
250,New Upload numbered steps do not match workflow order,Release 1.0,,,Fixed
251,Date range in voucher to disable previouse or current date when creating vouchers,Release 1.0,,,Fixed
252,Database updates,Suggested features,,,New
254,Large filesizes (>4GB) are incorrectly presented in flash interface,Release 1.0,,,Fixed
255,Download progress bar stops at 2GB,Release 1.0,,,Fixed
256,4GB download limit on Windows ??,Release 1.0,,,Fixed
258,plus sign in filename causes upload error,Release 1.0,,,Fixed
259,Wrong error msg in 'Add Recipient' with invalid or empty email address,Release 1.0,,,Fixed
260,Inconsistent error messages when email field is left blank,Release 1.0,,,Fixed
261,Reversed order of message prompts between File Upload and uploading a file using a Voucher,Release 1.0,,,Fixed
262,Make displaying of account holder's email address consistent across all sections,Suggested features,,,Fixed
263,Typos in voucher explanatory text,Suggested features,,,Fixed
264,Voucher upload file size displayed as NULL and 0 before browsing for file,Release 1.0,,,Fixed
265,project files case,Release 1.0,,,Fixed
266,Project tarball naming,Release 1.0,,,Fixed
